0 0.0314108 0.0627905 0.0941083 0.125333 0.156434 0.187381 0.218143 0.24869 0.278991 0.309017 0.338738 0.368125 0.397148 0.425779 0.45399 0.481754 0.509041 0.535827 0.562083 0.587785 0.612907 0.637424 0.661312 0.684547 0.707107 0.728969 0.750111 0.770513 0.790155 0.809017 0.827081 0.844328 0.860742 0.876307 0.891007 0.904827 0.917755 0.929776 0.940881 0.951057 0.960294 0.968583 0.975917 0.982287 0.987688 0.992115 0.995562 0.998027 0.999507 1 0.999507 0.998027 0.995562 0.992115 0.987688 0.982287 0.975917 0.968583 0.960294 0.951057 0.940881 0.929776 0.917755 0.904827 0.891007 0.876307 0.860742 0.844328 0.827081 0.809017 0.790155 0.770513 0.750111 0.728969 0.707107 0.684547 0.661312 0.637424 0.612907 0.587785 0.562083 0.535827 0.509041 0.481754 0.45399 0.425779 0.397148 0.368125 0.338738 0.309017 0.278991 0.24869 0.218143 0.187381 0.156434 0.125333 0.0941083 0.0627905 0.0314108 0 
0 0.0314106 0.0627902 0.0941078 0.125333 0.156434 0.18738 0.218142 0.248689 0.27899 0.309015 0.338736 0.368123 0.397146 0.425777 0.453988 0.481751 0.509039 0.535824 0.562081 0.587782 0.612904 0.637421 0.661309 0.684544 0.707103 0.728965 0.750107 0.770509 0.790151 0.809013 0.827076 0.844324 0.860738 0.876302 0.891002 0.904823 0.91775 0.929772 0.940876 0.951052 0.960289 0.968578 0.975912 0.982282 0.987683 0.99211 0.995557 0.998022 0.999502 0.999995 0.999502 0.998022 0.995557 0.99211 0.987683 0.982282 0.975912 0.968578 0.960289 0.951052 0.940876 0.929772 0.91775 0.904823 0.891002 0.876302 0.860738 0.844324 0.827076 0.809013 0.790151 0.770509 0.750107 0.728965 0.707103 0.684544 0.661309 0.637421 0.612904 0.587782 0.562081 0.535824 0.509039 0.481751 0.453988 0.425777 0.397146 0.368123 0.338736 0.309015 0.27899 0.248689 0.218142 0.18738 0.156434 0.125333 0.0941078 0.0627902 0.0314106 0 
0 0.0314104 0.0627899 0.0941074 0.125332 0.156433 0.187379 0.218141 0.248687 0.278988 0.309014 0.338735 0.368121 0.397144 0.425775 0.453986 0.481749 0.509036 0.535822 0.562078 0.587779 0.612901 0.637418 0.661305 0.68454 0.7071 0.728961 0.750104 0.770506 0.790147 0.809009 0.827072 0.84432 0.860734 0.876298 0.890998 0.904818 0.917746 0.929767 0.940871 0.951047 0.960284 0.968574 0.975907 0.982278 0.987679 0.992105 0.995552 0.998017 0.999497 0.99999 0.999497 0.998017 0.995552 0.992105 0.987679 0.982278 0.975907 0.968574 0.960284 0.951047 0.940871 0.929767 0.917746 0.904818 0.890998 0.876298 0.860734 0.84432 0.827072 0.809009 0.790147 0.770506 0.750104 0.728961 0.7071 0.68454 0.661305 0.637418 0.612901 0.587779 0.562078 0.535822 0.509036 0.481749 0.453986 0.425775 0.397144 0.368121 0.338735 0.309014 0.278988 0.248687 0.218141 0.187379 0.156433 0.125332 0.0941074 0.0627899 0.0314104 0 
0 0.0314103 0.0627896 0.0941069 0.125331 0.156432 0.187379 0.21814 0.248686 0.278987 0.309012 0.338733 0.368119 0.397142 0.425773 0.453984 0.481747 0.509034 0.535819 0.562075 0.587777 0.612898 0.637415 0.661302 0.684537 0.707096 0.728958 0.7501 0.770502 0.790143 0.809005 0.827068 0.844315 0.860729 0.876294 0.890993 0.904814 0.917741 0.929763 0.940867 0.951042 0.960279 0.968569 0.975902 0.982273 0.987674 0.9921 0.995547 0.998012 0.999492 0.999985 0.999492 0.998012 0.995547 0.9921 0.987674 0.982273 0.975902 0.968569 0.960279 0.951042 0.940867 0.929763 0.917741 0.904814 0.890993 0.876294 0.860729 0.844315 0.827068 0.809005 0.790143 0.770502 0.7501 0.728958 0.707096 0.684537 0.661302 0.637415 0.612898 0.587777 0.562075 0.535819 0.509034 0.481747 0.453984 0.425773 0.397142 0.368119 0.338733 0.309012 0.278987 0.248686 0.21814 0.187379 0.156432 0.125331 0.0941069 0.0627896 0.0314103 0 
0 0.0314101 0.0627893 0.0941065 0.125331 0.156431 0.187378 0.218139 0.248685 0.278986 0.309011 0.338731 0.368117 0.39714 0.425771 0.453982 0.481744 0.509031 0.535816 0.562072 0.587774 0.612895 0.637411 0.661299 0.684534 0.707093 0.728954 0.750096 0.770498 0.790139 0.809001 0.827064 0.844311 0.860725 0.876289 0.890989 0.904809 0.917737 0.929758 0.940862 0.951038 0.960275 0.968564 0.975897 0.982268 0.987669 0.992095 0.995542 0.998007 0.999487 0.99998 0.999487 0.998007 0.995542 0.992095 0.987669 0.982268 0.975897 0.968564 0.960275 0.951038 0.940862 0.929758 0.917737 0.904809 0.890989 0.876289 0.860725 0.844311 0.827064 0.809001 0.790139 0.770498 0.750096 0.728954 0.707093 0.684534 0.661299 0.637411 0.612895 0.587774 0.562072 0.535816 0.509031 0.481744 0.453982 0.425771 0.39714 0.368117 0.338731 0.309011 0.278986 0.248685 0.218139 0.187378 0.156431 0.125331 0.0941065 0.0627893 0.0314101 0 
0 0.03141 0.062789 0.094106 0.12533 0.156431 0.187377 0.218138 0.248684 0.278984 0.309009 0.33873 0.368115 0.397138 0.425769 0.453979 0.481742 0.509029 0.535814 0.56207 0.587771 0.612892 0.637408 0.661296 0.68453 0.707089 0.728951 0.750093 0.770494 0.790136 0.808997 0.82706 0.844307 0.860721 0.876285 0.890985 0.904805 0.917732 0.929754 0.940858 0.951033 0.96027 0.968559 0.975893 0.982263 0.987664 0.99209 0.995537 0.998002 0.999482 0.999975 0.999482 0.998002 0.995537 0.99209 0.987664 0.982263 0.975893 0.968559 0.96027 0.951033 0.940858 0.929754 0.917732 0.904805 0.890985 0.876285 0.860721 0.844307 0.82706 0.808997 0.790136 0.770494 0.750093 0.728951 0.707089 0.68453 0.661296 0.637408 0.612892 0.587771 0.56207 0.535814 0.509029 0.481742 0.453979 0.425769 0.397138 0.368115 0.33873 0.309009 0.278984 0.248684 0.218138 0.187377 0.156431 0.12533 0.094106 0.062789 0.03141 0 
0 0.0314098 0.0627887 0.0941055 0.12533 0.15643 0.187376 0.218137 0.248683 0.278983 0.309008 0.338728 0.368114 0.397136 0.425767 0.453977 0.481739 0.509026 0.535811 0.562067 0.587768 0.612889 0.637405 0.661292 0.684527 0.707086 0.728947 0.750089 0.77049 0.790132 0.808993 0.827056 0.844303 0.860717 0.876281 0.89098 0.9048 0.917727 0.929749 0.940853 0.951028 0.960265 0.968554 0.975888 0.982258 0.987659 0.992085 0.995532 0.997997 0.999477 0.99997 0.999477 0.997997 0.995532 0.992085 0.987659 0.982258 0.975888 0.968554 0.960265 0.951028 0.940853 0.929749 0.917727 0.9048 0.89098 0.876281 0.860717 0.844303 0.827056 0.808993 0.790132 0.77049 0.750089 0.728947 0.707086 0.684527 0.661292 0.637405 0.612889 0.587768 0.562067 0.535811 0.509026 0.481739 0.453977 0.425767 0.397136 0.368114 0.338728 0.309008 0.278983 0.248683 0.218137 0.187376 0.15643 0.12533 0.0941055 0.0627887 0.0314098 0 
0 0.0314097 0.0627884 0.0941051 0.125329 0.156429 0.187375 0.218136 0.248681 0.278981 0.309006 0.338726 0.368112 0.397134 0.425765 0.453975 0.481737 0.509024 0.535808 0.562064 0.587765 0.612886 0.637402 0.661289 0.684523 0.707082 0.728943 0.750085 0.770487 0.790128 0.808989 0.827052 0.844299 0.860712 0.876276 0.890976 0.904796 0.917723 0.929744 0.940848 0.951024 0.960261 0.96855 0.975883 0.982253 0.987654 0.99208 0.995528 0.997992 0.999472 0.999965 0.999472 0.997992 0.995528 0.99208 0.987654 0.982253 0.975883 0.96855 0.960261 0.951024 0.940848 0.929744 0.917723 0.904796 0.890976 0.876276 0.860712 0.844299 0.827052 0.808989 0.790128 0.770487 0.750085 0.728943 0.707082 0.684523 0.661289 0.637402 0.612886 0.587765 0.562064 0.535808 0.509024 0.481737 0.453975 0.425765 0.397134 0.368112 0.338726 0.309006 0.278981 0.248681 0.218136 0.187375 0.156429 0.125329 0.0941051 0.0627884 0.0314097 0 
0 0.0314095 0.062788 0.0941046 0.125328 0.156428 0.187374 0.218135 0.24868 0.27898 0.309005 0.338725 0.36811 0.397132 0.425762 0.453973 0.481735 0.509021 0.535806 0.562061 0.587762 0.612883 0.637399 0.661286 0.68452 0.707079 0.72894 0.750081 0.770483 0.790124 0.808985 0.827048 0.844295 0.860708 0.876272 0.890971 0.904791 0.917718 0.92974 0.940844 0.951019 0.960256 0.968545 0.975878 0.982248 0.987649 0.992076 0.995523 0.997987 0.999467 0.999961 0.999467 0.997987 0.995523 0.992076 0.987649 0.982248 0.975878 0.968545 0.960256 0.951019 0.940844 0.92974 0.917718 0.904791 0.890971 0.876272 0.860708 0.844295 0.827048 0.808985 0.790124 0.770483 0.750081 0.72894 0.707079 0.68452 0.661286 0.637399 0.612883 0.587762 0.562061 0.535806 0.509021 0.481735 0.453973 0.425762 0.397132 0.36811 0.338725 0.309005 0.27898 0.24868 0.218135 0.187374 0.156428 0.125328 0.0941046 0.062788 0.0314095 0 
0 0.0314094 0.0627877 0.0941041 0.125328 0.156428 0.187373 0.218134 0.248679 0.278979 0.309003 0.338723 0.368108 0.39713 0.42576 0.45397 0.481732 0.509019 0.535803 0.562058 0.587759 0.61288 0.637396 0.661282 0.684517 0.707075 0.728936 0.750078 0.770479 0.79012 0.808981 0.827044 0.84429 0.860704 0.876268 0.890967 0.904787 0.917714 0.929735 0.940839 0.951014 0.960251 0.96854 0.975873 0.982244 0.987644 0.992071 0.995518 0.997982 0.999462 0.999956 0.999462 0.997982 0.995518 0.992071 0.987644 0.982244 0.975873 0.96854 0.960251 0.951014 0.940839 0.929735 0.917714 0.904787 0.890967 0.876268 0.860704 0.84429 0.827044 0.808981 0.79012 0.770479 0.750078 0.728936 0.707075 0.684517 0.661282 0.637396 0.61288 0.587759 0.562058 0.535803 0.509019 0.481732 0.45397 0.42576 0.39713 0.368108 0.338723 0.309003 0.278979 0.248679 0.218134 0.187373 0.156428 0.125328 0.0941041 0.0627877 0.0314094 0 
