         0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0
0.00314159 0.00312212 0.00310277 0.00308354 0.00306442 0.00304543 0.00302656  0.0030078 0.00298916 0.00297063 0.00295222 0.00293392 0.00291574 0.00289767 0.00287971 0.00286186 0.00284412  0.0028265 0.00280898 0.00279157 0.00277427 0.00275707 0.00273998   0.002723 0.00270613 0.00268935 0.00267269 0.00265612 0.00263966  0.0026233 0.00260704 0.00259088 0.00257482 0.00255887 0.00254301 0.00252725 0.00251158 0.00249602 0.00248055 0.00246517 0.00244989 0.00243471 0.00241962 0.00240462 0.00238972 0.00237491 0.00236019 0.00234556 0.00233102 0.00231658 0.00230222 0.00228795 0.00227377 0.00225968 0.00224567 0.00223176 0.00221792 0.00220418 0.00219052 0.00217694 0.00216345 0.00215004 0.00213671 0.00212347 0.00211031 0.00209723 0.00208423 0.00207131 0.00205848 0.00204572 0.00203304 0.00202044 0.00200792 0.00199547  0.0019831 0.00197081  0.0019586 0.00194646  0.0019344 0.00192241 0.00191049 0.00189865 0.00188688 0.00187519 0.00186357 0.00185202 0.00184054 0.00182913  0.0018178 0.00180653 0.00179533 0.00178421 0.00177315 0.00176216 0.00175124 0.00174038  0.0017296 0.00171888 0.00170822 0.00169764 0.00168711 0.00167666 0.00166627 0.00165594 0.00164568 0.00163548 0.00162534 0.00161527 0.00160526 0.00159531 0.00158542 0.00157559 0.00156583 0.00155612 0.00154648 0.00153689 0.00152737  0.0015179 0.00150849 0.00149914 0.00148985 0.00148062 0.00147144 0.00146232 0.00145326 0.00144425  0.0014353 0.00142641
0.00628314  0.0062442  0.0062055 0.00616704 0.00612882 0.00609083 0.00605308 0.00601557 0.00597829 0.00594123 0.00590441 0.00586782 0.00583145 0.00579531 0.00575939 0.00572369 0.00568822 0.00565296 0.00561793 0.00558311 0.00554851 0.00551412 0.00547994 0.00544598 0.00541223 0.00537868 0.00534535 0.00531222 0.00527929 0.00524657 0.00521405 0.00518174 0.00514962 0.00511771 0.00508599 0.00505447 0.00502314 0.00499201 0.00496107 0.00493032 0.00489976  0.0048694 0.00483922 0.00480922 0.00477942  0.0047498 0.00472036  0.0046911 0.00466203 0.00463313 0.00460442 0.00457588 0.00454752 0.00451933 0.00449132 0.00446349 0.00443582 0.00440833 0.00438101 0.00435386 0.00432687 0.00430006 0.00427341 0.00424692  0.0042206 0.00419444 0.00416844 0.00414261 0.00411693 0.00409142 0.00406606 0.00404086 0.00401581 0.00399092 0.00396619 0.00394161 0.00391718  0.0038929 0.00386877  0.0038448 0.00382097 0.00379728 0.00377375 0.00375036 0.00372712 0.00370402 0.00368106 0.00365825 0.00363557 0.00361304 0.00359065 0.00356839 0.00354628  0.0035243 0.00350246 0.00348075 0.00345917 0.00343774 0.00341643 0.00339525 0.00337421  0.0033533 0.00333252 0.00331186 0.00329134 0.00327094 0.00325066 0.00323052 0.00321049  0.0031906 0.00317082 0.00315117 0.00313164 0.00311223 0.00309294 0.00307377 0.00305472 0.00303579 0.00301697 0.00299827 0.00297969 0.00296122 0.00294287 0.00292463 0.00290651 0.00288849 0.00287059  0.0028528
0.00942464 0.00936623 0.00930818 0.00925049 0.00919315 0.00913618 0.00907955 0.00902328 0.00896735 0.00891178 0.00885654 0.00880165  0.0087471 0.00869289 0.00863901 0.00858547 0.00853226 0.00847938 0.00842682 0.00837459 0.00832269 0.00827111 0.00821985  0.0081689 0.00811827 0.00806796 0.00801795 0.00796826 0.00791887 0.00786979 0.00782102 0.00777254 0.00772437  0.0076765 0.00762892 0.00758164 0.00753465 0.00748795 0.00744154 0.00739542 0.00734958 0.00730403 0.00725876 0.00721378 0.00716907 0.00712463 0.00708048 0.00703659 0.00699298 0.00694964 0.00690657 0.00686376 0.00682122 0.00677895 0.00673693 0.00669518 0.00665368 0.00661244 0.00657146 0.00653073 0.00649026 0.00645003 0.00641006 0.00637033 0.00633084 0.00629161 0.00625261 0.00621386 0.00617535 0.00613708 0.00609904 0.00606124 0.00602367 0.00598634 0.00594924 0.00591236 0.00587572  0.0058393 0.00580311 0.00576715  0.0057314 0.00569588 0.00566058  0.0056255 0.00559063 0.00555598 0.00552155 0.00548732 0.00545331 0.00541952 0.00538593 0.00535255 0.00531937  0.0052864 0.00525364 0.00522108 0.00518872 0.00515656  0.0051246 0.00509284 0.00506128 0.00502991 0.00499873 0.00496775 0.00493696 0.00490636 0.00487596 0.00484573  0.0048157 0.00478586 0.00475619 0.00472672 0.00469742 0.00466831 0.00463937 0.00461062 0.00458204 0.00455364 0.00452542 0.00449737  0.0044695  0.0044418 0.00441427 0.00438691 0.00435972  0.0043327 0.00430585 0.00427916
  0.012566  0.0124882  0.0124108  0.0123338  0.0122574  0.0121814  0.0121059  0.0120309  0.0119563  0.0118822  0.0118086  0.0117354  0.0116627  0.0115904  0.0115185  0.0114472  0.0113762  0.0113057  0.0112356   0.011166  0.0110968   0.011028  0.0109597  0.0108917  0.0108242  0.0107572  0.0106905  0.0106242  0.0105584  0.0104929  0.0104279  0.0103633   0.010299  0.0102352  0.0101718  0.0101087  0.0100461 0.00998382 0.00992194 0.00986045 0.00979933  0.0097386 0.00967824 0.00961826 0.00955865  0.0094994 0.00944053 0.00938202 0.00932387 0.00926608 0.00920865 0.00915158 0.00909486 0.00903849 0.00898247  0.0089268 0.00887147 0.00881649 0.00876185 0.00870754 0.00865358 0.00859994 0.00854664 0.00849367 0.00844103 0.00838871 0.00833672 0.00828505  0.0082337 0.00818267 0.00813196 0.00808156 0.00803147 0.00798169 0.00793222 0.00788306  0.0078342 0.00778565 0.00773739 0.00768944 0.00764178 0.00759442 0.00754735 0.00750057 0.00745409 0.00740789 0.00736198 0.00731635   0.007271 0.00722594 0.00718115 0.00713665 0.00709241 0.00704846 0.00700477 0.00696136 0.00691821 0.00687533 0.00683272 0.00679037 0.00674829 0.00670646  0.0066649 0.00662359 0.00658254 0.00654174  0.0065012 0.00646091 0.00642086 0.00638107 0.00634152 0.00630221 0.00626315 0.00622434 0.00618576 0.00614742 0.00610932 0.00607146 0.00603383 0.00599643 0.00595927 0.00592233 0.00588563 0.00584915  0.0058129 0.00577687 0.00574107 0.00570548
 0.0157073    0.01561  0.0155132  0.0154171  0.0153215  0.0152266  0.0151322  0.0150384  0.0149452  0.0148526  0.0147605   0.014669  0.0145781  0.0144878   0.014398  0.0143087  0.0142201  0.0141319  0.0140443  0.0139573  0.0138708  0.0137848  0.0136994  0.0136145  0.0135301  0.0134462  0.0133629  0.0132801  0.0131978   0.013116  0.0130347  0.0129539  0.0128736  0.0127938  0.0127145  0.0126357  0.0125574  0.0124796  0.0124022  0.0123254   0.012249  0.0121731  0.0120976  0.0120226  0.0119481  0.0118741  0.0118005  0.0117273  0.0116547  0.0115824  0.0115106  0.0114393  0.0113684  0.0112979  0.0112279  0.0111583  0.0110892  0.0110204  0.0109521  0.0108843  0.0108168  0.0107498  0.0106831  0.0106169  0.0105511  0.0104857  0.0104207  0.0103562   0.010292  0.0102282  0.0101648  0.0101018  0.0100392 0.00997697 0.00991513 0.00985368 0.00979261 0.00973192  0.0096716 0.00961166 0.00955209 0.00949288 0.00943405 0.00937558 0.00931747 0.00925972 0.00920233  0.0091453 0.00908862 0.00903229 0.00897631 0.00892068 0.00886539 0.00881044 0.00875584 0.00870157 0.00864764 0.00859404 0.00854078 0.00848784 0.00843524 0.00838296   0.008331 0.00827937 0.00822805 0.00817706 0.00812638 0.00807601 0.00802596 0.00797622 0.00792678 0.00787765 0.00782883 0.00778031 0.00773209 0.00768416 0.00763654 0.00758921 0.00754217 0.00749543 0.00744897  0.0074028 0.00735692 0.00731133 0.00726601 0.00722098 0.00717623 0.00713175
 0.0188484  0.0187316  0.0186155  0.0185002  0.0183855  0.0182715  0.0181583  0.0180458  0.0179339  0.0178228  0.0177123  0.0176025  0.0174934   0.017385  0.0172773  0.0171702  0.0170638   0.016958  0.0168529  0.0167484  0.0166446  0.0165415   0.016439  0.0163371  0.0162358  0.0161352  0.0160352  0.0159358   0.015837  0.0157389  0.0156413  0.0155444  0.0154481  0.0153523  0.0152572  0.0151626  0.0150686  0.0149752  0.0148824  0.0147902  0.0146985  0.0146074  0.0145169  0.0144269  0.0143375  0.0142486  0.0141603  0.0140726  0.0139853  0.0138987  0.0138125  0.0137269  0.0136418  0.0135573  0.0134733  0.0133898  0.0133068  0.0132243  0.0131423  0.0130609  0.0129799  0.0128995  0.0128195  0.0127401  0.0126611  0.0125827  0.0125047  0.0124272  0.0123501  0.0122736  0.0121975  0.0121219  0.0120468  0.0119721  0.0118979  0.0118242  0.0117509  0.0116781  0.0116057  0.0115338  0.0114623  0.0113913  0.0113207  0.0112505  0.0111808  0.0111115  0.0110426  0.0109742  0.0109061  0.0108386  0.0107714  0.0107046  0.0106383  0.0105723  0.0105068  0.0104417   0.010377  0.0103127  0.0102487  0.0101852  0.0101221  0.0100594 0.00999702 0.00993506 0.00987349 0.00981229 0.00975148 0.00969104 0.00963098 0.00957129 0.00951196 0.00945301 0.00939442  0.0093362 0.00927833 0.00922083 0.00916368 0.00910689 0.00905044 0.00899435  0.0089386 0.00888321 0.00882815 0.00877343 0.00871906 0.00866502 0.00861131 0.00855794
 0.0219894  0.0218531  0.0217176   0.021583  0.0214493  0.0213163  0.0211842  0.0210529  0.0209224  0.0207928  0.0206639  0.0205358  0.0204086  0.0202821  0.0201564  0.0200314  0.0199073  0.0197839  0.0196613  0.0195394  0.0194183   0.019298  0.0191784  0.0190595  0.0189414   0.018824  0.0187073  0.0185914  0.0184762  0.0183616  0.0182478  0.0181347  0.0180223  0.0179107  0.0177996  0.0176893  0.0175797  0.0174707  0.0173625  0.0172548  0.0171479  0.0170416   0.016936   0.016831  0.0167267  0.0166231    0.01652  0.0164176  0.0163159  0.0162148  0.0161143  0.0160144  0.0159151  0.0158165  0.0157185  0.0156211  0.0155242   0.015428  0.0153324  0.0152374  0.0151429  0.0150491  0.0149558  0.0148631   0.014771  0.0146795  0.0145885  0.0144981  0.0144082  0.0143189  0.0142302   0.014142  0.0140543  0.0139672  0.0138806  0.0137946  0.0137091  0.0136241  0.0135397  0.0134558  0.0133724  0.0132895  0.0132071  0.0131253  0.0130439  0.0129631  0.0128828  0.0128029  0.0127236  0.0126447  0.0125663  0.0124885  0.0124111  0.0123341  0.0122577  0.0121817  0.0121062  0.0120312  0.0119566  0.0118825  0.0118089  0.0117357  0.0116629  0.0115907  0.0115188  0.0114474  0.0113765   0.011306  0.0112359  0.0111663  0.0110971  0.0110283  0.0109599   0.010892  0.0108245  0.0107574  0.0106907  0.0106245  0.0105586  0.0104932  0.0104281  0.0103635  0.0102993  0.0102355   0.010172   0.010109  0.0100463 0.00998405
 0.0251301  0.0249743  0.0248196  0.0246657  0.0245129  0.0243609  0.0242099  0.0240599  0.0239108  0.0237626  0.0236153  0.0234689  0.0233235  0.0231789  0.0230353  0.0228925  0.0227506  0.0226096  0.0224695  0.0223302  0.0221918  0.0220543  0.0219176  0.0217818  0.0216468  0.0215126  0.0213793  0.0212468  0.0211151  0.0209842  0.0208542  0.0207249  0.0205965  0.0204688  0.0203419  0.0202159  0.0200906  0.0199661  0.0198423  0.0197193  0.0195971  0.0194757   0.019355   0.019235  0.0191158  0.0189973  0.0188796  0.0187626  0.0186463  0.0185307  0.0184159  0.0183017  0.0181883  0.0180756  0.0179635  0.0178522  0.0177415  0.0176316  0.0175223  0.0174137  0.0173058  0.0171985  0.0170919   0.016986  0.0168807  0.0167761  0.0166721  0.0165688  0.0164661  0.0163641  0.0162626  0.0161618  0.0160617  0.0159621  0.0158632  0.0157649  0.0156672  0.0155701  0.0154736  0.0153777  0.0152824  0.0151876  0.0150935      0.015   0.014907  0.0148146  0.0147228  0.0146315  0.0145409  0.0144507  0.0143612  0.0142722  0.0141837  0.0140958  0.0140084  0.0139216  0.0138353  0.0137496  0.0136644  0.0135797  0.0134955  0.0134119  0.0133287  0.0132461   0.013164  0.0130825  0.0130014  0.0129208  0.0128407  0.0127611   0.012682  0.0126034  0.0125253  0.0124477  0.0123705  0.0122939  0.0122177   0.012142  0.0120667  0.0119919  0.0119176  0.0118437  0.0117703  0.0116974  0.0116249  0.0115528  0.0114812  0.0114101
 0.0282706  0.0280954  0.0279212  0.0277482  0.0275762  0.0274053  0.0272354  0.0270666  0.0268989  0.0267322  0.0265665  0.0264018  0.0262382  0.0260756   0.025914  0.0257534  0.0255937  0.0254351  0.0252775  0.0251208  0.0249651  0.0248104  0.0246566  0.0245038  0.0243519   0.024201   0.024051  0.0239019  0.0237538  0.0236066  0.0234603  0.0233149  0.0231704  0.0230268  0.0228841  0.0227422  0.0226013  0.0224612   0.022322  0.0221836  0.0220461  0.0219095  0.0217737  0.0216388  0.0215047  0.0213714  0.0212389  0.0211073  0.0209765  0.0208465  0.0207173  0.0205889  0.0204612  0.0203344  0.0202084  0.0200832  0.0199587   0.019835   0.019712  0.0195899  0.0194685  0.0193478  0.0192279  0.0191087  0.0189903  0.0188726  0.0187556  0.0186394  0.0185239   0.018409  0.0182949  0.0181816  0.0180689  0.0179569  0.0178456   0.017735  0.0176251  0.0175158  0.0174073  0.0172994  0.0171922  0.0170856  0.0169797  0.0168745  0.0167699   0.016666  0.0165627    0.01646   0.016358  0.0162566  0.0161559  0.0160557  0.0159562  0.0158573  0.0157591  0.0156614  0.0155643  0.0154678   0.015372  0.0152767   0.015182  0.0150879  0.0149944  0.0149015  0.0148091  0.0147173  0.0146261  0.0145355  0.0144454  0.0143559  0.0142669  0.0141785  0.0140906  0.0140033  0.0139165  0.0138302  0.0137445  0.0136593  0.0135747  0.0134905  0.0134069  0.0133238  0.0132412  0.0131592  0.0130776  0.0129966   0.012916   0.012836
